Student_ID,Math,Science,English,Arts,Computer,Social_Studies,PE,Interest,Strength,Recommended_Career,Subjects_Needed
3127,99,82,64,95,61,71,57,Painting,Math,Game Developer,"Computer, Math"
3128,50,87,70,83,90,68,72,Finance,Computer,Game Developer,"Computer, Math"
3129,74,56,92,77,96,87,66,History,Computer,Blockchain Developer,"Computer, Math"
3130,91,90,68,60,86,58,73,Leadership,Math,Cybersecurity Analyst,"Computer, Math"
3131,76,93,62,97,95,51,94,Teaching,Arts,Animator,"Arts, Computer"
3132,65,81,76,51,64,78,86,Finance,PE,Fitness Entrepreneur,"PE, Business Studies"
3133,56,62,95,54,92,64,75,Event Management,English,Content Creator,English
3134,69,84,74,71,100,74,76,Nature,Computer,Game Developer,"Computer, Math"
3135,75,56,64,66,65,71,89,Writing,PE,Fitness Entrepreneur,"PE, Business Studies"
3136,91,85,50,95,95,93,64,History,Arts,Animator,"Arts, Computer"
3137,71,72,61,71,97,57,70,History,Computer,Blockchain Developer,"Computer, Math"
3138,99,64,53,57,93,59,89,History,Math,Software Developer,"Computer, Math"
3139,73,54,100,77,65,52,50,Coding,English,Content Creator,English
3140,80,85,51,75,95,50,90,Writing,Computer,Game Developer,"Computer, Math"
3141,88,82,92,53,85,69,79,Writing,English,Digital Marketer,"English, Business Studies"
3142,88,86,90,57,84,83,63,Finance,English,Journalist,"English, Social Studies"
3143,57,54,91,86,92,90,96,Finance,PE,Athlete,"PE, Biology"
3144,90,76,99,51,62,94,89,Finance,English,Public Relations Manager,"English, Social Studies"
3145,55,94,64,86,62,69,57,History,Science,Game Developer,"Computer, Math"
3146,99,71,96,80,70,57,56,Healthcare,Math,Software Developer,"Computer, Math"
3147,56,69,91,67,97,78,72,Robotics,Computer,Astronomer,"Math, Science"
3148,50,59,50,85,89,79,97,Finance,PE,Coach,"PE, Biology"
3149,78,66,92,51,52,89,85,Nature,English,Journalist,"English, Social Studies"
3150,52,75,90,94,64,85,98,Sports,PE,Sports Physiotherapist,"PE, Biology"
3151,95,98,99,100,63,79,70,Event Management,Arts,Interior Designer,"Arts, Math"
3152,62,61,89,70,67,87,76,Teaching,English,Digital Marketer,"English, Business Studies"
3153,62,91,59,72,99,73,77,Finance,Computer,Software Developer,"Computer, Math"
3154,81,86,53,67,84,85,99,Teaching,PE,Athlete,"PE, Biology"
3155,72,55,67,81,99,59,97,History,Computer,Cybersecurity Analyst,"Computer, Math"
3156,81,80,76,55,73,93,100,Event Management,PE,Coach,"PE, Biology"
3157,69,93,71,66,99,76,70,Leadership,Computer,Software Developer,"Computer, Math"
3158,52,51,74,93,88,98,71,Teaching,Social,Political Scientist,"History, Social Studies"
3159,80,66,50,92,78,81,63,Leadership,Arts,Interior Designer,"Arts, Math"
3160,83,98,67,66,68,82,70,Sports,Science,Software Developer,"Computer, Math"
3161,50,98,98,92,83,84,93,Event Management,Science,Game Developer,"Computer, Math"
3162,81,57,83,71,77,96,92,Writing,Social,Political Scientist,"History, Social Studies"
3163,54,68,94,69,52,88,62,Finance,English,Content Creator,English
3164,62,72,99,83,70,80,53,Coding,English,Journalist,"English, Social Studies"
3165,77,65,92,59,61,71,67,History,English,Public Relations Manager,"English, Social Studies"
3166,93,94,78,54,86,97,91,Robotics,Social,Sociologist,Social Studies
3167,73,52,92,90,98,78,54,Coding,Computer,Astronomer,"Math, Science"
3168,57,95,65,75,81,56,63,Healthcare,Science,Blockchain Developer,"Computer, Math"
3169,72,86,58,76,83,65,70,Finance,Science,Cybersecurity Analyst,"Computer, Math"
3170,53,86,62,62,51,51,85,Event Management,Science,Software Developer,"Computer, Math"
3171,95,53,74,70,66,90,94,Painting,Math,Cybersecurity Analyst,"Computer, Math"
3172,77,71,77,55,51,53,96,Writing,PE,Sports Physiotherapist,"PE, Biology"
3173,88,86,50,50,80,97,52,Nature,Social,Counselor,"Social Studies, Biology"
3174,75,94,60,91,59,77,79,History,Science,Cybersecurity Analyst,"Computer, Math"
3175,62,67,91,51,92,87,71,Sports,Computer,Game Developer,"Computer, Math"
3176,97,100,58,94,78,54,74,Teaching,Science,Game Developer,"Computer, Math"
3177,66,75,50,86,74,86,73,Healthcare,Arts,Interior Designer,"Arts, Math"
3178,54,55,81,98,76,58,65,Healthcare,Arts,Animator,"Arts, Computer"
3179,63,75,97,73,86,95,96,Writing,English,Content Creator,English
3180,94,54,81,73,53,65,90,Event Management,Math,Cybersecurity Analyst,"Computer, Math"
3181,74,70,85,84,69,93,59,Leadership,Social,Historian,"History, Social Studies"
3182,83,68,93,74,64,84,54,Nature,English,Content Creator,English
3183,59,97,89,84,82,100,100,Leadership,Social,Sociologist,Social Studies
3184,66,83,74,62,57,66,90,Event Management,PE,Fitness Entrepreneur,"PE, Business Studies"
3185,92,93,77,64,85,66,77,Healthcare,Science,Cybersecurity Analyst,"Computer, Math"
3186,79,97,55,97,89,72,66,Teaching,Science,Cybersecurity Analyst,"Computer, Math"
3187,62,59,84,82,62,96,86,Robotics,Social,Counselor,"Social Studies, Biology"
3188,72,85,91,65,55,52,58,Healthcare,English,Digital Marketer,"English, Business Studies"
3189,71,92,53,82,57,86,64,Sports,Science,Game Developer,"Computer, Math"
3190,74,81,93,89,78,83,62,Painting,English,Content Creator,English
3191,94,68,80,60,84,84,97,Painting,PE,Coach,"PE, Biology"
3192,59,78,68,85,52,97,74,Robotics,Social,Counselor,"Social Studies, Biology"
3193,64,96,79,88,52,50,82,Nature,Science,Cybersecurity Analyst,"Computer, Math"
3194,99,70,98,51,50,56,52,Robotics,Math,Scientist,"Math, Science"
3195,65,71,99,78,98,66,57,Healthcare,English,Digital Marketer,"English, Business Studies"
3196,56,96,64,94,86,81,50,Leadership,Science,Cybersecurity Analyst,"Computer, Math"
3197,77,67,90,81,51,95,86,Robotics,Social,Historian,"History, Social Studies"
3198,62,83,75,90,65,99,86,Sports,Social,Historian,"History, Social Studies"
3199,55,53,82,80,80,59,82,Robotics,English,Content Creator,English
3200,91,65,76,75,79,70,74,Robotics,Math,Engineer,"Math, Computer, Science"
3201,51,66,87,60,97,51,62,History,Computer,Blockchain Developer,"Computer, Math"
3202,73,53,56,94,54,85,84,Teaching,Arts,Interior Designer,"Arts, Math"
3203,75,77,68,91,74,88,66,Painting,Arts,Graphic Designer,"Arts, Computer"
3204,62,70,93,59,73,69,80,Finance,English,Public Relations Manager,"English, Social Studies"
3205,91,50,81,91,74,81,69,Healthcare,Math,Cybersecurity Analyst,"Computer, Math"
3206,94,67,79,88,72,96,95,History,Social,Sociologist,Social Studies
3207,71,76,63,78,52,97,58,Finance,Social,Political Scientist,"History, Social Studies"
3208,66,65,92,68,95,96,66,Finance,Social,Historian,"History, Social Studies"
3209,86,67,70,90,65,58,62,History,Arts,Interior Designer,"Arts, Math"
3210,57,78,86,59,71,56,94,Painting,PE,Athlete,"PE, Biology"
3211,86,85,96,58,97,97,57,Event Management,Computer,Game Developer,"Computer, Math"
3212,57,79,89,57,62,68,94,Teaching,PE,Fitness Entrepreneur,"PE, Business Studies"
3213,77,61,77,64,63,91,53,Sports,Social,Counselor,"Social Studies, Biology"
3214,97,64,87,59,74,92,77,Event Management,Math,Game Developer,"Computer, Math"
3215,65,75,63,65,97,78,80,Event Management,Computer,Blockchain Developer,"Computer, Math"
3216,69,87,62,90,57,58,58,Robotics,Arts,Animator,"Arts, Computer"
3217,93,96,72,58,77,64,61,History,Science,Game Developer,"Computer, Math"
3218,65,52,57,94,71,67,79,Robotics,Arts,Interior Designer,"Arts, Math"
3219,99,100,93,70,52,100,57,Robotics,Science,Doctor,"Biology, Science"
3220,96,100,82,80,90,52,83,Robotics,Science,Doctor,"Biology, Science"
3221,71,89,66,74,64,51,55,Nature,Science,Cybersecurity Analyst,"Computer, Math"
3222,53,72,50,65,99,98,94,Sports,Computer,Blockchain Developer,"Computer, Math"
3223,78,81,61,53,94,74,63,Finance,Computer,Game Developer,"Computer, Math"
3224,75,90,50,96,90,98,59,Robotics,Social,Counselor,"Social Studies, Biology"
3225,51,70,51,69,91,74,50,Nature,Computer,Cybersecurity Analyst,"Computer, Math"
3226,51,76,66,52,61,57,50,Healthcare,Science,Software Developer,"Computer, Math"
3227,98,75,91,67,93,83,74,Coding,Math,Doctor,"Biology, Science"
3228,86,51,91,82,64,86,53,Leadership,English,Public Relations Manager,"English, Social Studies"
3229,74,87,60,67,87,96,77,Robotics,Social,Sociologist,Social Studies
3230,86,97,93,95,77,67,87,Robotics,Science,Engineer,"Math, Computer, Science"
3231,52,89,75,86,97,90,90,Writing,Computer,Game Developer,"Computer, Math"
3232,68,58,56,61,76,77,66,Coding,Social,Counselor,"Social Studies, Biology"
3233,100,61,85,59,64,93,56,Nature,Math,Cybersecurity Analyst,"Computer, Math"
3234,76,52,95,59,88,85,79,History,English,Digital Marketer,"English, Business Studies"
3235,61,99,80,97,74,86,72,Leadership,Science,Software Developer,"Computer, Math"
3236,87,84,100,73,75,85,53,Healthcare,English,Journalist,"English, Social Studies"
3237,56,88,94,79,90,78,59,Leadership,English,Content Creator,English
3238,68,66,93,76,65,71,100,Coding,PE,Coach,"PE, Biology"
3239,85,58,67,84,90,73,83,Finance,Computer,Game Developer,"Computer, Math"
3240,76,90,64,95,82,87,55,Event Management,Arts,Graphic Designer,"Arts, Computer"
3241,69,53,51,90,65,82,90,Leadership,Arts,Fashion Designer,Arts
3242,90,69,69,88,82,70,96,Sports,PE,Fitness Entrepreneur,"PE, Business Studies"
3243,90,80,97,94,59,73,52,Leadership,English,Journalist,"English, Social Studies"
3244,69,87,99,51,57,63,99,History,English,Journalist,"English, Social Studies"
3245,70,51,61,77,69,98,61,Sports,Social,Political Scientist,"History, Social Studies"
3246,50,88,61,85,62,75,57,Event Management,Science,Cybersecurity Analyst,"Computer, Math"
3247,58,96,53,77,64,98,87,Finance,Social,Political Scientist,"History, Social Studies"
3248,64,98,66,68,96,52,81,Healthcare,Science,Software Developer,"Computer, Math"
3249,90,95,70,73,57,59,74,Writing,Science,Blockchain Developer,"Computer, Math"
3250,88,53,54,64,78,100,57,Finance,Social,Political Scientist,"History, Social Studies"
3251,68,60,60,96,79,64,81,Painting,Arts,Fashion Designer,Arts
3252,93,71,67,85,93,75,77,Painting,Math,Blockchain Developer,"Computer, Math"
3253,95,76,55,74,79,99,97,Painting,Social,Political Scientist,"History, Social Studies"
3254,57,86,81,50,77,82,98,Coding,PE,Fitness Entrepreneur,"PE, Business Studies"
3255,68,85,82,80,95,53,77,Leadership,Computer,Game Developer,"Computer, Math"
3256,60,87,100,66,79,83,71,Teaching,English,Content Creator,English
3257,94,99,86,66,84,54,51,Healthcare,Science,Software Developer,"Computer, Math"
3258,71,89,92,83,80,94,71,Sports,Social,Political Scientist,"History, Social Studies"
3259,75,69,99,93,67,55,64,Robotics,English,Digital Marketer,"English, Business Studies"
3260,60,51,82,58,92,86,82,Coding,Computer,Engineer,"Math, Computer, Science"
3261,66,59,95,74,61,70,65,Healthcare,English,Journalist,"English, Social Studies"
3262,98,65,63,83,60,99,53,Sports,Social,Political Scientist,"History, Social Studies"
3263,73,89,100,51,58,54,93,Robotics,English,Content Creator,English
3264,57,95,78,75,61,52,81,Leadership,Science,Cybersecurity Analyst,"Computer, Math"
3265,73,51,95,100,80,50,51,Writing,Arts,Interior Designer,"Arts, Math"
3266,88,72,88,55,98,66,80,Coding,Computer,Scientist,"Math, Science"
3267,92,53,94,65,95,68,88,Leadership,Computer,Cybersecurity Analyst,"Computer, Math"
3268,82,62,59,82,88,65,86,History,Computer,Cybersecurity Analyst,"Computer, Math"
3269,74,98,59,66,83,91,98,Coding,Science,Doctor,"Biology, Science"
3270,73,58,60,94,92,52,51,Nature,Arts,Animator,"Arts, Computer"
3271,88,54,57,56,63,54,83,Finance,Math,Cybersecurity Analyst,"Computer, Math"
3272,65,50,87,58,56,51,70,Robotics,English,Content Creator,English
3273,69,61,90,99,59,69,71,Finance,Arts,Graphic Designer,"Arts, Computer"
3274,95,62,53,97,95,71,51,Robotics,Arts,Animator,"Arts, Computer"
3275,50,57,62,77,100,92,93,Sports,Computer,Cybersecurity Analyst,"Computer, Math"
3276,70,67,91,96,86,73,68,Finance,Arts,Interior Designer,"Arts, Math"
3277,79,57,88,97,69,79,84,Robotics,Arts,Interior Designer,"Arts, Math"
3278,54,98,59,97,72,78,60,Finance,Science,Blockchain Developer,"Computer, Math"
3279,61,68,68,54,82,78,58,Painting,Computer,Blockchain Developer,"Computer, Math"
3280,52,83,71,88,83,54,99,Writing,PE,Sports Physiotherapist,"PE, Biology"
3281,87,56,100,89,56,77,56,Healthcare,English,Public Relations Manager,"English, Social Studies"
3282,81,58,50,81,75,69,50,Sports,Math,Blockchain Developer,"Computer, Math"
3283,77,74,79,91,79,50,95,Robotics,PE,Fitness Entrepreneur,"PE, Business Studies"
3284,79,52,57,82,83,83,85,Leadership,PE,Sports Physiotherapist,"PE, Biology"
3285,95,91,89,64,99,96,63,Coding,Computer,Doctor,"Biology, Science"
3286,98,51,92,96,69,57,96,Writing,Math,Cybersecurity Analyst,"Computer, Math"
3287,99,63,88,58,50,69,53,Event Management,Math,Blockchain Developer,"Computer, Math"
3288,73,61,86,72,76,67,72,Nature,English,Content Creator,English
3289,71,75,54,74,87,52,60,Writing,Computer,Blockchain Developer,"Computer, Math"
3290,85,73,67,73,51,51,60,Leadership,Math,Game Developer,"Computer, Math"
3291,78,58,89,57,97,92,100,Finance,PE,Fitness Entrepreneur,"PE, Business Studies"
3292,86,50,90,86,93,87,76,Leadership,Computer,Software Developer,"Computer, Math"
3293,63,89,83,65,100,80,58,Event Management,Computer,Blockchain Developer,"Computer, Math"
3294,70,100,55,99,83,82,74,Healthcare,Science,Blockchain Developer,"Computer, Math"
3295,50,57,70,55,90,95,99,Event Management,PE,Fitness Entrepreneur,"PE, Business Studies"
3296,92,54,57,64,72,57,80,Sports,Math,Cybersecurity Analyst,"Computer, Math"
3297,70,100,78,70,66,79,94,Leadership,Science,Game Developer,"Computer, Math"
3298,69,62,99,94,92,78,60,Finance,English,Public Relations Manager,"English, Social Studies"
3299,93,90,87,85,77,55,52,Healthcare,Math,Cybersecurity Analyst,"Computer, Math"
3300,90,93,86,74,57,92,91,Event Management,Science,Software Developer,"Computer, Math"
3301,95,51,62,99,100,93,62,Healthcare,Computer,Game Developer,"Computer, Math"
3302,95,62,75,81,63,53,64,Leadership,Math,Game Developer,"Computer, Math"
3303,59,59,90,83,83,98,87,Sports,Social,Political Scientist,"History, Social Studies"
3304,76,80,96,73,88,86,81,Writing,English,Digital Marketer,"English, Business Studies"
3305,92,55,74,88,53,50,62,Finance,Math,Blockchain Developer,"Computer, Math"
3306,89,85,53,73,67,61,67,Finance,Math,Game Developer,"Computer, Math"
3307,78,61,50,59,71,91,99,Leadership,PE,Sports Physiotherapist,"PE, Biology"
3308,99,59,56,66,87,54,65,Coding,Math,Doctor,"Biology, Science"
3309,80,55,73,90,77,94,65,Healthcare,Social,Counselor,"Social Studies, Biology"
3310,57,91,74,67,79,77,81,Event Management,Science,Cybersecurity Analyst,"Computer, Math"
3311,100,98,64,82,79,57,85,Writing,Math,Blockchain Developer,"Computer, Math"
3312,93,71,94,98,92,64,92,Coding,Arts,Animator,"Arts, Computer"
3313,90,50,88,100,70,80,97,Finance,Arts,Graphic Designer,"Arts, Computer"
3314,95,85,64,100,58,96,67,Writing,Arts,Fashion Designer,Arts
3315,76,67,79,70,84,91,64,History,Social,Counselor,"Social Studies, Biology"
3316,68,55,57,58,76,98,89,Painting,Social,Sociologist,Social Studies
3317,84,59,86,83,54,77,65,Leadership,English,Digital Marketer,"English, Business Studies"
3318,60,80,57,88,75,92,94,Robotics,PE,Sports Physiotherapist,"PE, Biology"
3319,69,88,94,100,81,83,76,Nature,Arts,Animator,"Arts, Computer"
3320,76,81,50,91,95,58,53,Sports,Computer,Software Developer,"Computer, Math"
3321,73,66,63,62,76,94,65,Robotics,Social,Historian,"History, Social Studies"
3322,73,99,95,84,79,95,53,Leadership,Science,Game Developer,"Computer, Math"
3323,87,67,62,95,89,75,76,Painting,Arts,Animator,"Arts, Computer"
3324,57,89,98,50,76,99,64,Healthcare,Social,Sociologist,Social Studies
3325,95,59,69,64,92,82,69,Coding,Math,Astronomer,"Math, Science"
3326,67,62,54,81,85,66,91,Nature,PE,Coach,"PE, Biology"
3327,58,95,54,69,54,88,71,Coding,Science,Astronomer,"Math, Science"
3328,91,97,72,79,95,57,65,Robotics,Science,Engineer,"Math, Computer, Science"
3329,88,88,100,61,100,52,67,Finance,English,Journalist,"English, Social Studies"
3330,96,56,72,56,82,60,57,Healthcare,Math,Cybersecurity Analyst,"Computer, Math"
3331,98,78,100,87,82,83,73,Healthcare,English,Journalist,"English, Social Studies"
3332,89,63,72,73,88,72,67,Robotics,Math,Doctor,"Biology, Science"
3333,73,59,87,61,98,75,55,Event Management,Computer,Game Developer,"Computer, Math"
3334,88,60,58,65,88,51,82,Robotics,Math,Scientist,"Math, Science"
3335,81,55,94,63,50,64,67,Event Management,English,Content Creator,English
3336,78,83,73,55,59,55,92,Sports,PE,Fitness Entrepreneur,"PE, Business Studies"
3337,66,89,95,71,82,62,97,Teaching,PE,Athlete,"PE, Biology"
3338,80,67,65,93,89,82,51,Nature,Arts,Interior Designer,"Arts, Math"
3339,61,98,60,80,70,62,98,Coding,Science,Engineer,"Math, Computer, Science"
3340,60,76,79,71,97,94,62,Painting,Computer,Software Developer,"Computer, Math"
3341,70,98,54,99,56,82,69,Healthcare,Arts,Interior Designer,"Arts, Math"
3342,77,69,71,93,77,90,74,Event Management,Arts,Animator,"Arts, Computer"
3343,90,86,76,86,72,56,77,Teaching,Math,Cybersecurity Analyst,"Computer, Math"
3344,92,55,80,76,53,89,64,Painting,Math,Cybersecurity Analyst,"Computer, Math"
3345,55,83,54,87,93,82,74,Healthcare,Computer,Blockchain Developer,"Computer, Math"
3346,69,99,63,50,93,85,53,Healthcare,Science,Cybersecurity Analyst,"Computer, Math"
3347,84,57,50,90,89,83,87,Nature,Arts,Fashion Designer,Arts
3348,76,51,55,73,66,62,72,Nature,Math,Game Developer,"Computer, Math"
3349,72,90,52,68,72,59,71,Robotics,Science,Scientist,"Math, Science"
3350,71,97,72,78,50,89,62,Event Management,Science,Software Developer,"Computer, Math"
3351,62,71,88,62,79,61,58,Nature,English,Digital Marketer,"English, Business Studies"
3352,82,85,62,83,79,88,88,Leadership,Social,Historian,"History, Social Studies"
3353,81,62,63,77,94,78,86,Nature,Computer,Software Developer,"Computer, Math"
3354,81,98,74,95,100,100,76,Nature,Computer,Game Developer,"Computer, Math"
3355,57,59,56,95,72,98,96,Finance,Social,Sociologist,Social Studies
3356,63,92,98,72,63,92,82,Coding,English,Public Relations Manager,"English, Social Studies"
3357,90,86,53,79,55,86,78,Robotics,Math,Astronomer,"Math, Science"
3358,51,69,61,57,96,60,83,Healthcare,Computer,Cybersecurity Analyst,"Computer, Math"
3359,71,56,88,98,59,84,88,Coding,Arts,Animator,"Arts, Computer"
3360,81,64,86,54,50,69,79,Painting,English,Journalist,"English, Social Studies"
3361,95,70,84,74,79,77,98,Writing,PE,Athlete,"PE, Biology"
3362,61,89,94,82,73,87,52,Sports,English,Journalist,"English, Social Studies"
3363,83,56,83,90,74,78,94,Sports,PE,Fitness Entrepreneur,"PE, Business Studies"
3364,97,78,98,66,76,63,79,Painting,English,Public Relations Manager,"English, Social Studies"
3365,64,63,69,97,79,75,73,Event Management,Arts,Fashion Designer,Arts
3366,82,86,56,53,82,94,99,History,PE,Athlete,"PE, Biology"
3367,51,56,80,65,99,50,75,Coding,Computer,Engineer,"Math, Computer, Science"
3368,67,80,52,72,69,71,100,Teaching,PE,Sports Physiotherapist,"PE, Biology"
3369,99,86,69,69,71,66,74,Event Management,Math,Software Developer,"Computer, Math"
3370,77,83,93,64,99,88,87,Robotics,Computer,Engineer,"Math, Computer, Science"
3371,54,81,96,83,51,58,55,Writing,English,Digital Marketer,"English, Business Studies"
3372,66,96,50,79,89,75,93,Event Management,Science,Cybersecurity Analyst,"Computer, Math"
3373,83,70,69,51,84,78,67,Nature,Computer,Software Developer,"Computer, Math"
3374,66,71,80,83,82,53,93,Healthcare,PE,Coach,"PE, Biology"
3375,57,77,56,67,59,57,91,History,PE,Athlete,"PE, Biology"
3376,58,78,76,70,62,75,78,Teaching,Science,Software Developer,"Computer, Math"
3377,94,66,71,82,82,75,53,Coding,Math,Scientist,"Math, Science"
3378,70,84,64,68,59,83,90,Event Management,PE,Fitness Entrepreneur,"PE, Business Studies"
3379,65,99,94,94,71,93,76,History,Science,Game Developer,"Computer, Math"
3380,60,89,67,59,63,78,93,Finance,PE,Sports Physiotherapist,"PE, Biology"
3381,97,97,57,85,80,97,70,Event Management,Math,Cybersecurity Analyst,"Computer, Math"
3382,56,70,97,76,89,82,78,Healthcare,English,Digital Marketer,"English, Business Studies"
3383,88,83,81,55,62,58,57,Event Management,Math,Blockchain Developer,"Computer, Math"
3384,59,93,84,63,85,79,80,Writing,Science,Blockchain Developer,"Computer, Math"
3385,63,84,74,65,98,91,95,Sports,Computer,Game Developer,"Computer, Math"
3386,91,74,59,73,71,90,50,Robotics,Math,Scientist,"Math, Science"
3387,61,64,68,63,81,70,63,Event Management,Computer,Cybersecurity Analyst,"Computer, Math"
3388,72,59,67,100,96,90,84,Robotics,Arts,Fashion Designer,Arts
3389,99,59,99,78,76,87,61,Event Management,Math,Game Developer,"Computer, Math"
3390,87,92,52,53,75,75,62,Robotics,Science,Engineer,"Math, Computer, Science"
3391,56,64,71,82,65,55,56,Leadership,Arts,Animator,"Arts, Computer"
3392,71,94,59,77,79,63,52,Nature,Science,Software Developer,"Computer, Math"
3393,100,85,83,77,87,100,54,Writing,Math,Cybersecurity Analyst,"Computer, Math"
3394,69,54,60,50,88,96,93,Robotics,Social,Sociologist,Social Studies
3395,72,52,62,56,50,61,66,Event Management,Math,Cybersecurity Analyst,"Computer, Math"
3396,60,90,62,85,66,93,80,Finance,Social,Political Scientist,"History, Social Studies"
3397,81,79,88,71,71,60,99,Nature,PE,Fitness Entrepreneur,"PE, Business Studies"
3398,81,69,71,67,57,82,74,Painting,Social,Historian,"History, Social Studies"
3399,67,58,79,79,59,51,61,Painting,English,Public Relations Manager,"English, Social Studies"
3400,93,78,69,54,94,95,90,Nature,Social,Historian,"History, Social Studies"
3401,84,80,90,90,100,100,75,Leadership,Computer,Cybersecurity Analyst,"Computer, Math"
3402,96,70,90,83,59,69,100,Leadership,PE,Coach,"PE, Biology"
3403,86,100,66,77,97,51,55,Painting,Science,Game Developer,"Computer, Math"
3404,70,71,92,69,95,58,66,Finance,Computer,Game Developer,"Computer, Math"
3405,90,87,75,89,61,79,95,History,PE,Coach,"PE, Biology"
3406,80,91,62,52,58,95,59,Nature,Social,Counselor,"Social Studies, Biology"
3407,95,59,50,52,95,95,92,Event Management,Math,Software Developer,"Computer, Math"
3408,83,100,51,55,80,77,86,Writing,Science,Blockchain Developer,"Computer, Math"
3409,79,67,86,80,74,71,74,Coding,English,Public Relations Manager,"English, Social Studies"
3410,75,59,83,85,63,69,96,Nature,PE,Athlete,"PE, Biology"
3411,82,88,98,81,92,86,84,Healthcare,English,Journalist,"English, Social Studies"
3412,66,76,94,74,96,70,90,Leadership,Computer,Software Developer,"Computer, Math"
3413,54,70,90,96,61,68,53,Nature,Arts,Animator,"Arts, Computer"
3414,85,90,100,85,93,86,98,Sports,English,Journalist,"English, Social Studies"
3415,65,85,96,63,64,64,91,History,English,Content Creator,English
3416,51,68,70,51,74,73,69,Event Management,Computer,Game Developer,"Computer, Math"
3417,59,69,100,80,68,75,73,Teaching,English,Public Relations Manager,"English, Social Studies"
3418,51,87,91,81,90,51,76,Leadership,English,Content Creator,English
3419,74,52,87,91,89,99,83,Painting,Social,Counselor,"Social Studies, Biology"
3420,66,91,96,96,74,53,81,Teaching,English,Journalist,"English, Social Studies"
3421,72,94,95,54,100,61,76,Nature,Computer,Game Developer,"Computer, Math"
3422,85,93,51,61,99,57,83,Robotics,Computer,Doctor,"Biology, Science"
3423,68,61,90,59,85,98,68,Healthcare,Social,Political Scientist,"History, Social Studies"
3424,87,71,80,82,55,71,57,Leadership,Math,Game Developer,"Computer, Math"
3425,89,89,60,95,80,76,78,Healthcare,Arts,Graphic Designer,"Arts, Computer"
3426,68,55,80,80,85,57,59,Coding,Computer,Engineer,"Math, Computer, Science"
3427,80,96,69,72,76,84,56,Leadership,Science,Software Developer,"Computer, Math"
3428,68,90,59,62,66,75,69,Healthcare,Science,Cybersecurity Analyst,"Computer, Math"
3429,64,100,80,62,84,62,97,Robotics,Science,Doctor,"Biology, Science"
3430,87,69,99,57,62,70,80,Sports,English,Journalist,"English, Social Studies"
3431,76,56,73,85,67,52,53,Healthcare,Arts,Animator,"Arts, Computer"
3432,68,81,90,72,71,91,62,Sports,Social,Counselor,"Social Studies, Biology"
3433,61,90,74,76,65,97,89,Coding,Social,Political Scientist,"History, Social Studies"
3434,93,80,100,65,54,83,56,Painting,English,Journalist,"English, Social Studies"
3435,56,64,67,58,100,67,67,Leadership,Computer,Software Developer,"Computer, Math"
3436,64,72,82,88,98,98,98,Teaching,Computer,Game Developer,"Computer, Math"
3437,87,79,91,57,58,71,100,Leadership,PE,Sports Physiotherapist,"PE, Biology"
3438,71,83,75,82,54,72,58,Painting,Science,Software Developer,"Computer, Math"
3439,65,50,92,79,84,91,52,Healthcare,English,Journalist,"English, Social Studies"
3440,82,74,60,87,72,65,54,Painting,Arts,Animator,"Arts, Computer"
3441,96,74,63,67,65,58,60,Sports,Math,Game Developer,"Computer, Math"
3442,69,55,76,63,69,84,99,Event Management,PE,Sports Physiotherapist,"PE, Biology"
3443,56,67,64,50,51,72,75,Healthcare,PE,Sports Physiotherapist,"PE, Biology"
3444,57,100,55,81,58,54,62,History,Science,Blockchain Developer,"Computer, Math"
3445,90,92,96,82,88,95,85,Nature,English,Content Creator,English
3446,54,60,90,87,55,69,56,Sports,English,Content Creator,English
3447,51,99,70,59,74,51,50,Healthcare,Science,Cybersecurity Analyst,"Computer, Math"
3448,78,51,63,80,68,100,81,Healthcare,Social,Counselor,"Social Studies, Biology"
3449,62,94,78,73,50,69,85,Finance,Science,Blockchain Developer,"Computer, Math"
3450,63,82,73,98,91,97,67,Sports,Arts,Fashion Designer,Arts
3451,50,75,98,63,53,95,78,History,English,Public Relations Manager,"English, Social Studies"
3452,59,80,68,83,55,71,95,Coding,PE,Athlete,"PE, Biology"
3453,77,61,77,68,66,50,94,Writing,PE,Fitness Entrepreneur,"PE, Business Studies"
3454,67,59,67,57,96,56,80,Healthcare,Computer,Blockchain Developer,"Computer, Math"
3455,81,81,69,65,98,61,58,Painting,Computer,Software Developer,"Computer, Math"
3456,95,72,79,99,76,76,63,Event Management,Arts,Graphic Designer,"Arts, Computer"
3457,92,78,51,75,58,78,86,Event Management,Math,Cybersecurity Analyst,"Computer, Math"
3458,84,54,94,96,60,59,58,Teaching,Arts,Graphic Designer,"Arts, Computer"
3459,53,62,71,53,98,57,69,Finance,Computer,Cybersecurity Analyst,"Computer, Math"
3460,72,80,84,81,80,89,83,Nature,Social,Political Scientist,"History, Social Studies"
3461,85,80,100,77,65,97,90,Coding,English,Journalist,"English, Social Studies"
3462,91,53,91,96,59,81,50,Nature,Arts,Graphic Designer,"Arts, Computer"
3463,93,91,52,56,51,95,79,Painting,Social,Historian,"History, Social Studies"
3464,70,68,58,88,59,54,83,Nature,Arts,Interior Designer,"Arts, Math"
3465,70,85,87,90,88,84,75,Robotics,Arts,Interior Designer,"Arts, Math"
3466,78,62,98,77,83,64,96,Writing,English,Digital Marketer,"English, Business Studies"
3467,70,59,50,84,60,88,86,Teaching,Social,Political Scientist,"History, Social Studies"
